T,C0,C1,T_ns,T_ps
1600705000,161051,161769,1.600705,0.001600705
1600715000,161052,161770,1.600715,0.001600715
1600725000,161053,161771,1.600725,0.001600725
1600735000,161054,161772,1.600735,0.001600735
1600745000,161055,161773,1.600745,0.001600745
1600755000,161056,161774,1.600755,0.001600755
1600765000,161057,161775,1.600765,0.001600765
1600775000,161058,161776,1.600775,0.001600775
1600785000,161059,161777,1.600785,0.001600785
1600795000,161060,161778,1.600795,0.001600795
1600805000,161061,161779,1.600805,0.001600805
1600815000,161062,161780,1.600815,0.001600815
1600825000,161063,161781,1.600825,0.001600825
1600835000,161064,161782,1.600835,0.001600835
1600845000,161065,161783,1.600845,0.001600845
1600855000,161066,161784,1.600855,0.001600855
1600865000,161067,161785,1.600865,0.001600865
1600875000,161068,161786,1.600875,0.001600875
1600885000,161069,161787,1.600885,0.001600885
1600895000,161070,161788,1.600895,0.001600895
1600905000,161071,161789,1.600905,0.001600905
1600915000,161072,161790,1.600915,0.001600915
1600925000,161073,161791,1.600925,0.001600925
1600935000,161074,161792,1.600935,0.001600935
1600945000,161075,161793,1.600945,0.001600945
1600955000,161076,161794,1.600955,0.001600955
1600965000,161077,161795,1.600965,0.001600965
1600975000,161078,161796,1.600975,0.001600975
1600985000,161079,161797,1.600985,0.001600985
1600995000,161080,161798,1.600995,0.001600995
1920005000,192981,193693,1.920005,0.001920005
1920015000,192982,193694,1.920015,0.001920015
1920025000,192983,193695,1.920025,0.001920025
1920035000,192984,193696,1.920035,0.001920035
1920045000,192985,193697,1.920045,0.001920045
1920055000,192986,193698,1.920055,0.001920055
1920065000,192987,193699,1.920065,0.001920065
1920075000,192988,193700,1.920075,0.001920075
1920085000,192989,193701,1.920085,0.001920085
1920095000,192990,193702,1.920095,0.001920095
1920105000,192991,193703,1.920105,0.001920105
1920115000,192992,193704,1.920115,0.001920115
1920125000,192993,193705,1.920125,0.001920125
1920135000,192994,193706,1.920135,0.001920135
1920145000,192995,193707,1.920145,0.001920145
1920155000,192996,193708,1.920155,0.001920155
1920165000,192997,193709,1.920165,0.001920165
1920175000,192998,193710,1.920175,0.001920175
1920185000,192999,193711,1.920185,0.001920185
1920195000,193000,193712,1.920195,0.001920195
1920205000,193001,193713,1.920205,0.001920205
1920215000,193002,193714,1.920215,0.001920215
1920225000,193003,193715,1.920225,0.001920225
1920235000,193004,193716,1.920235,0.001920235
1920245000,193005,193717,1.920245,0.001920245
1920255000,193006,193718,1.920255,0.001920255
1920265000,193007,193719,1.920265,0.001920265
1920275000,193008,193720,1.920275,0.001920275
1920285000,193009,193721,1.920285,0.001920285
1920295000,193010,193722,1.920295,0.001920295
1920305000,193011,193723,1.920305,0.001920305
1920315000,193012,193724,1.920315,0.001920315
1920325000,193013,193725,1.920325,0.001920325
1920335000,193014,193726,1.920335,0.001920335
1920345000,193015,193727,1.920345,0.001920345
1920355000,193016,193728,1.920355,0.001920355
1920365000,193017,193729,1.920365,0.001920365
1920375000,193018,193730,1.920375,0.001920375
1920385000,193019,193731,1.920385,0.001920385
1920395000,193020,193732,1.920395,0.001920395
1920405000,193021,193733,1.920405,0.001920405
1920415000,193022,193734,1.920415,0.001920415
1920425000,193023,193735,1.920425,0.001920425
1920435000,193024,193736,1.920435,0.001920435
1920445000,193025,193737,1.920445,0.001920445
1920455000,193026,193738,1.920455,0.001920455
1920465000,193027,193739,1.920465,0.001920465
1920475000,193028,193740,1.920475,0.001920475
1920485000,193029,193741,1.920485,0.001920485
1920495000,193030,193742,1.920495,0.001920495
1920505000,193031,193743,1.920505,0.001920505
1920515000,193032,193744,1.920515,0.001920515
1920525000,193033,193745,1.920525,0.001920525
1920535000,193034,193746,1.920535,0.001920535
1920545000,193035,193747,1.920545,0.001920545
